"gene.symbol"	"egID"	"gene.set"
"A1BG"	1	"All_genes"
"A1BG-AS1"	503538	"All_genes"
"A1CF"	29974	"All_genes"
"A2M"	2	"All_genes"
"A2M-AS1"	144571	"All_genes"
"A2ML1"	144568	"All_genes"
"A2MP1"	3	"All_genes"
"A3GALT2"	127550	"All_genes"
"A4GALT"	53947	"All_genes"
"A4GNT"	51146	"All_genes"
"AA06"	100506677	"All_genes"
"AAAS"	8086	"All_genes"
"AACS"	65985	"All_genes"
"AACSP1"	729522	"All_genes"
"AADAC"	13	"All_genes"
"AADACL2"	344752	"All_genes"
"AADACL2-AS1"	101928142	"All_genes"
"AADACL3"	126767	"All_genes"
"AADACL4"	343066	"All_genes"
"AADACP1"	201651	"All_genes"
"AADAT"	51166	"All_genes"
"AAED1"	195827	"All_genes"
"AAGAB"	79719	"All_genes"
"AAK1"	22848	"All_genes"
"AAMDC"	28971	"All_genes"
"AAMP"	14	"All_genes"
"AANAT"	15	"All_genes"
"AAR2"	25980	"All_genes"
"AARD"	441376	"All_genes"
"AARS"	16	"All_genes"
"AARS2"	57505	"All_genes"
"AARSD1"	80755	"All_genes"
"AASDH"	132949	"All_genes"
"AASDHPPT"	60496	"All_genes"
"AASS"	10157	"All_genes"
"AATF"	26574	"All_genes"
"AATK"	9625	"All_genes"
"AATK-AS1"	388428	"All_genes"
"ABAT"	18	"All_genes"
"ABCA1"	19	"All_genes"
"ABCA10"	10349	"All_genes"
"ABCA11P"	79963	"All_genes"
"ABCA12"	26154	"All_genes"
"ABCA13"	154664	"All_genes"
"ABCA17P"	650655	"All_genes"
"ABCA2"	20	"All_genes"
"ABCA3"	21	"All_genes"
"ABCA4"	24	"All_genes"
"ABCA5"	23461	"All_genes"
"ABCA6"	23460	"All_genes"
"ABCA7"	10347	"All_genes"
"ABCA8"	10351	"All_genes"
"ABCA9"	10350	"All_genes"
"ABCB1"	5243	"All_genes"
"ABCB10"	23456	"All_genes"
"ABCB11"	8647	"All_genes"
"ABCB4"	5244	"All_genes"
"ABCB5"	340273	"All_genes"
"ABCB6"	10058	"All_genes"
"ABCB7"	22	"All_genes"
"ABCB8"	11194	"All_genes"
"ABCB9"	23457	"All_genes"
"ABCC1"	4363	"All_genes"
"ABCC10"	89845	"All_genes"
"ABCC11"	85320	"All_genes"
"ABCC12"	94160	"All_genes"
"ABCC13"	150000	"All_genes"
"ABCC2"	1244	"All_genes"
"ABCC3"	8714	"All_genes"
"ABCC4"	10257	"All_genes"
"ABCC5"	10057	"All_genes"
"ABCC5-AS1"	100873982	"All_genes"
"ABCC6"	368	"All_genes"
"ABCC6P1"	653190	"All_genes"
"ABCC6P2"	730013	"All_genes"
"ABCC8"	6833	"All_genes"
"ABCC9"	10060	"All_genes"
"ABCD1"	215	"All_genes"
"ABCD2"	225	"All_genes"
